x,y,w,h
644,225,53,53
526,209,70,70
536,215,50,50
645,221,60,60
525,203,76,76
643,221,59,59
529,208,65,65
645,220,63,63
647,227,50,50
526,209,69,69
528,212,63,63
646,228,53,53
526,211,66,66
654,228,63,63
660,237,51,51
529,212,71,71
530,211,74,74
530,210,74,74
662,236,56,56
655,230,64,64
538,210,65,65
649,222,72,72
543,215,59,59
653,229,60,60
540,212,62,62
652,229,61,61
534,209,72,72
655,230,60,60
538,213,66,66
654,230,57,57
543,213,61,61
652,230,59,59
656,235,49,49
542,212,65,65
537,211,68,68
654,227,67,67
538,210,67,67
540,214,61,61
655,228,63,63
531,209,74,74
532,210,74,74
537,214,68,68
656,233,56,56
538,211,69,69
650,228,68,68
539,209,73,73
653,229,66,66
538,211,67,67
654,229,66,66
535,213,68,68
652,230,66,66
540,210,69,69
654,230,63,63
541,214,67,67
655,234,59,59
537,214,66,66
657,235,58,58
540,211,70,70
657,229,63,63
539,212,69,69
654,231,63,63
546,216,60,60
654,230,65,65
654,232,60,60
538,213,68,68
540,212,66,66
656,233,60,60
540,215,66,66
656,231,59,59
543,213,65,65
654,230,62,62
535,209,72,72
655,231,62,62
536,210,74,74
656,232,61,61
540,212,70,70
656,229,62,62
544,215,61,61
655,232,60,60
540,214,67,67
654,233,58,58
543,212,65,65
653,231,63,63
535,213,72,72
655,233,57,57
537,214,70,70
654,232,59,59
655,232,61,61
540,215,66,66
653,232,62,62
537,212,70,70
655,232,61,61
533,212,72,72
655,232,61,61
536,211,71,71
652,232,62,62
539,213,69,69
653,230,65,65
537,213,70,70
649,229,67,67
539,212,68,68
542,216,63,63
651,231,66,66
656,234,63,63
537,211,74,74
656,233,61,61
540,211,72,72
539,213,69,69
654,232,65,65
533,207,77,77
655,234,60,60
541,211,72,72
657,233,55,55
538,210,77,77
653,230,66,66
535,213,72,72
657,233,64,64
538,214,69,69
656,234,60,60
540,210,72,72
656,234,62,62
658,234,61,61
535,208,74,74
656,236,61,61
655,233,62,62
