timestamp,x,y
1683619716.044447,11.22698974609375,0.8398284912109375
1683619719.883084,1430.84130859375,8.228775024414062
1683619724.475762,2.7761993408203125,886.5950317382812
1683619729.849043,1428.8707275390625,873.8739013671875
1683619733.219989,1429.015625,440.9769287109375
1683619737.3240252,4.3408966064453125,445.49920654296875
1683619741.768476,792.7352905273438,6.64874267578125
1683619746.1956868,744.2249145507812,892.669921875
1683619749.494823,750.6339111328125,390.189453125
1683619753.369826,133.06857299804688,51.330078125
1683619757.4487429,240.99929809570312,45.055450439453125
1683619761.520967,348.8876037597656,54.19853210449219
1683619764.757094,496.9506530761719,56.452392578125
1683619768.259892,108.79594421386719,363.6370849609375
1683619771.7817202,115.03489685058594,502.1726379394531
